ID,PARENT__C,NAME,EXT,NAME2
a02d000000HfJicAAF,a02d000000HfK27AAF,290,205,348
a02d000000HfJidAAF,a02d000000HfJriAAF,291,101,349
a02d000000HfJieAAF,a02d000000HfJriAAF,291,104,349
a02d000000HfJifAAF,a02d000000HfJriAAF,291,106,349
a02d000000HfJjkAAF,a02d000000HfKC9AAN,4693,103,5632
a02d000000HfJjlAAF,a02d000000HfKC9AAN,4693,104,5632
a02d000000HfJjmAAF,a02d000000HfKC9AAN,4693,105,5632
a02d000000HfJjnAAF,a02d000000HfKC9AAN,4693,106,5632
a02d000000HfJriAAF,a02d000000HfL2PAAV,291,,349
a02d000000HfJrjAAF,a02d000000HfL5iAAF,292,,350
a02d000000HfJrkAAF,a02d000000HfL2PAAV,300,1,360
a02d000000HfJrlAAF,a02d000000HfL1uAAF,300,2,360
a02d000000HfJsvAAF,a02d000000HfK1ZAAV,2980,103,3576
a02d000000HfJswAAF,a02d000000HfK1ZAAV,2980,203,3576
a02d000000HfJsxAAF,a02d000000HfK1aAAF,2990,101,3588
a02d000000HfJsyAAF,a02d000000HfK1aAAF,2990,104,3588
a02d000000HfJtFAAV,a02d000000HfL2tAAF,2700,1,3240
a02d000000HfJtGAAV,a02d000000HfL0zAAF,2700,2,3240
a02d000000HfJtHAAV,a02d000000HfL2tAAF,2700,3,3240
a02d000000HfJtIAAV,a02d000000HfL6xAAF,2710,1,3252
a02d000000HfJtPAAV,a02d000000HfL50AAF,6380,,7656
a02d000000HfJtQAAV,a02d000000HfL4fAAF,6400,,7680
a02d000000HfJtRAAV,a02d000000HfL4bAAF,6400,1,7680
a02d000000HfJtSAAV,a02d000000HfL3DAAV,6430,,7716
a02d000000HfK1NAAV,a02d000000HfK4SAAV,701,301,841
a02d000000HfK1OAAV,a02d000000HfK4TAAV,710,101,852
a02d000000HfK1PAAV,a02d000000HfK4TAAV,710,104,852
a02d000000HfK1QAAV,a02d000000HfK4TAAV,710,202,852
a02d000000HfK1SAAV,a02d000000HfKzyAAF,4080,3,4896
a02d000000HfK1TAAV,a02d000000HfL79AAF,4080,4,4896
a02d000000HfK1UAAV,a02d000000HfL1lAAF,4080,5,4896
a02d000000HfK1VAAV,a02d000000HfKzyAAF,4081,1,4897
